instance,config,best,avg,worst,runs_completed,runs_timed_out,total_time_sec,ls_best,ls_avg,ls_improvement_avg,ls_total_time_sec
us_iptv,C5_WidePopulation,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
usa_tv_input,C1_Baseline,1921,1795.2,1713,4,0,670.54,2292,2203.2,408.0,6.5
usa_tv_input,C2_Exploitation,1786,1729.8,1711,4,0,649.47,2349,1870.5,140.8,2.74
usa_tv_input,C3_Exploration,2013,1945.8,1877,4,0,794.69,2497,2404.5,458.8,5.18
usa_tv_input,C4_Balanced,2068,1984.2,1828,4,0,663.49,2571,2241.0,256.8,6.59
usa_tv_input,C5_WidePopulation,1830,1764.0,1711,4,0,754.56,2525,2208.5,444.5,6.89
youtube_gold,C1_Baseline,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
youtube_gold,C2_Exploitation,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
youtube_gold,C3_Exploration,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
youtube_gold,C4_Balanced,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
youtube_gold,C5_WidePopulation,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
youtube_premium,C1_Baseline,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
youtube_premium,C2_Exploitation,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
youtube_premium,C3_Exploration,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
youtube_premium,C4_Balanced,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
youtube_premium,C5_WidePopulation,-1,-1.0,-1,0,1,0.0,-1,-1.0,0.0,0.0
