instance,config,run,score,duration_sec,timed_out
netherlands_tv_input,C4_Balanced,6,1450,4.448,False
netherlands_tv_input,C4_Balanced,7,1475,2.756,False
netherlands_tv_input,C4_Balanced,8,1513,2.719,False
netherlands_tv_input,C4_Balanced,9,1664,3.079,False
netherlands_tv_input,C4_Balanced,10,1495,3.02,False
netherlands_tv_input,C5_WidePopulation,1,1467,2.457,False
netherlands_tv_input,C5_WidePopulation,2,1491,2.535,False
netherlands_tv_input,C5_WidePopulation,3,1510,2.29,False
netherlands_tv_input,C5_WidePopulation,4,1465,2.204,False
netherlands_tv_input,C5_WidePopulation,5,1506,2.494,False
netherlands_tv_input,C5_WidePopulation,6,1490,2.087,False
netherlands_tv_input,C5_WidePopulation,7,1531,2.355,False
netherlands_tv_input,C5_WidePopulation,8,1524,3.09,False
netherlands_tv_input,C5_WidePopulation,9,1424,3.371,False
netherlands_tv_input,C5_WidePopulation,10,1493,2.69,False
singapore_pw,C1_Baseline,1,2398,79.432,False
singapore_pw,C1_Baseline,2,2449,93.896,False
singapore_pw,C1_Baseline,3,2371,89.165,False
singapore_pw,C1_Baseline,4,2516,87.36,False
singapore_pw,C2_Exploitation,1,2537,81.341,False
singapore_pw,C2_Exploitation,2,2320,65.528,False
singapore_pw,C2_Exploitation,3,2596,73.177,False
singapore_pw,C2_Exploitation,4,2447,84.806,False
singapore_pw,C3_Exploration,1,2545,88.58,False
singapore_pw,C3_Exploration,2,2501,92.859,False
singapore_pw,C3_Exploration,3,2423,91.314,False
singapore_pw,C3_Exploration,4,2364,90.001,False
singapore_pw,C4_Balanced,1,2299,66.999,False
singapore_pw,C4_Balanced,2,2318,65.934,False
singapore_pw,C4_Balanced,3,2400,70.663,False
singapore_pw,C4_Balanced,4,2454,62.007,False
singapore_pw,C4_Balanced,5,2642,65.105,False
singapore_pw,C5_WidePopulation,1,2442,599.889,False
spain_iptv,C1_Baseline,1,2064,42.405,False
spain_iptv,C1_Baseline,2,2147,45.071,False
spain_iptv,C1_Baseline,3,2067,45.596,False
spain_iptv,C1_Baseline,4,2172,54.116,False
spain_iptv,C1_Baseline,5,1987,43.094,False
spain_iptv,C1_Baseline,6,2143,73.781,False
spain_iptv,C2_Exploitation,1,2070,52.235,False
spain_iptv,C2_Exploitation,2,2069,81.737,False
spain_iptv,C2_Exploitation,3,2092,46.936,False
spain_iptv,C2_Exploitation,4,2012,34.327,False
spain_iptv,C2_Exploitation,5,2361,42.964,False
spain_iptv,C2_Exploitation,6,2075,31.249,False
spain_iptv,C2_Exploitation,7,2044,39.579,False
spain_iptv,C3_Exploration,1,2090,48.205,False
spain_iptv,C3_Exploration,2,2070,49.175,False
spain_iptv,C3_Exploration,3,2093,49.107,False
spain_iptv,C3_Exploration,4,2112,51.708,False
spain_iptv,C3_Exploration,5,2037,53.499,False
spain_iptv,C3_Exploration,6,2006,53.407,False
spain_iptv,C4_Balanced,1,1968,33.598,False
spain_iptv,C4_Balanced,2,1935,37.467,False
spain_iptv,C4_Balanced,3,2062,35.689,False
spain_iptv,C4_Balanced,4,2199,36.617,False
spain_iptv,C4_Balanced,5,1981,33.04,False
spain_iptv,C4_Balanced,6,2132,36.003,False
spain_iptv,C4_Balanced,7,2168,37.301,False
spain_iptv,C4_Balanced,8,1963,39.447,False
spain_iptv,C4_Balanced,9,2138,39.522,False
spain_iptv,C5_WidePopulation,1,2252,35.652,False
spain_iptv,C5_WidePopulation,2,2051,37.022,False
spain_iptv,C5_WidePopulation,3,1972,35.835,False
spain_iptv,C5_WidePopulation,4,1965,656.655,False
toy,C1_Baseline,1,380,0.67,False
toy,C1_Baseline,2,380,0.673,False
toy,C1_Baseline,3,380,0.691,False
toy,C1_Baseline,4,380,0.668,False
toy,C1_Baseline,5,380,0.539,False
toy,C1_Baseline,6,380,0.884,False
toy,C1_Baseline,7,380,0.91,False
toy,C1_Baseline,8,380,0.797,False
toy,C1_Baseline,9,380,0.613,False
toy,C1_Baseline,10,380,0.725,False
toy,C2_Exploitation,1,380,0.752,False
toy,C2_Exploitation,2,380,0.651,False
toy,C2_Exploitation,3,380,0.655,False
toy,C2_Exploitation,4,380,0.592,False
toy,C2_Exploitation,5,380,0.769,False
toy,C2_Exploitation,6,380,0.656,False
toy,C2_Exploitation,7,380,0.617,False
toy,C2_Exploitation,8,380,0.63,False
toy,C2_Exploitation,9,380,0.662,False
toy,C2_Exploitation,10,380,0.643,False
toy,C3_Exploration,1,380,0.717,False
toy,C3_Exploration,2,380,0.878,False
toy,C3_Exploration,3,380,0.769,False
toy,C3_Exploration,4,380,1.019,False
toy,C3_Exploration,5,380,1.126,False
toy,C3_Exploration,6,380,0.872,False
toy,C3_Exploration,7,380,1.098,False
toy,C3_Exploration,8,380,0.744,False
toy,C3_Exploration,9,380,0.787,False
toy,C3_Exploration,10,380,0.689,False
toy,C4_Balanced,1,380,0.575,False
toy,C4_Balanced,2,380,0.559,False
toy,C4_Balanced,3,380,0.805,False
toy,C4_Balanced,4,380,0.585,False
toy,C4_Balanced,5,380,0.557,False
toy,C4_Balanced,6,380,0.702,False
toy,C4_Balanced,7,380,0.691,False
toy,C4_Balanced,8,380,0.746,False
toy,C4_Balanced,9,380,0.546,False
toy,C4_Balanced,10,380,0.616,False
toy,C5_WidePopulation,1,380,0.484,False
toy,C5_WidePopulation,2,380,0.485,False
toy,C5_WidePopulation,3,380,0.664,False
toy,C5_WidePopulation,4,380,0.607,False
toy,C5_WidePopulation,5,380,0.561,False
toy,C5_WidePopulation,6,380,0.552,False
toy,C5_WidePopulation,7,380,0.478,False
